%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1610713950793009790,1586,1610713950792764320,crazyflie/base_link,-1.5127068758010864,-0.5100608468055725,0.07847114652395248,-0.0027675412129610777,0.01107016485184431,-0.05258328467607498,0.9985513091087341
1610713950802181582,1587,1610713950801829936,crazyflie/base_link,-1.5178368091583252,-0.5216494202613831,0.0840199664235115,-0.005535082425922155,0.005535082425922155,-0.04704819992184639,0.9988619685173035
1610713950812882734,1588,1610713950812574686,crazyflie/base_link,-1.5103516578674316,-0.5076168775558472,0.09589659422636032,-0.01107016485184431,0.012453935109078884,-0.05396705120801926,0.9984036684036255
1610713950821098138,1589,1610713950820831091,crazyflie/base_link,-1.5110135078430176,-0.5080384016036987,0.09097479283809662,-0.017989017069339752,0.01107016485184431,-0.05258328467607498,0.9983931183815002
1610713950833220536,1590,1610713950832985408,crazyflie/base_link,-1.509899616241455,-0.5033028721809387,0.06710157543420792,-0.01660524681210518,0.012453935109078884,-0.05396705120801926,0.9983269572257996
1610713950842036334,1591,1610713950841719760,crazyflie/base_link,-1.511361002922058,-0.5089576244354248,0.08878590911626816,-0.00830262340605259,0.012453935109078884,-0.049815740436315536,0.9986462593078613
1610713950852832613,1592,1610713950852547414,crazyflie/base_link,-1.511346697807312,-0.5087230205535889,0.0900704562664032,-0.009686394594609737,0.01107016485184431,-0.049815740436315536,0.998650074005127
1610713950873417604,1593,1610713950873201327,crazyflie/base_link,-1.5128682851791382,-0.5092706084251404,0.06825625896453857,-0.005535082425922155,0.01107016485184431,-0.04704819992184639,0.9988159537315369
1610713950882064523,1594,1610713950881811311,crazyflie/base_link,-1.5128461122512817,-0.5086691975593567,0.06826741993427277,-0.006918853148818016,0.01107016485184431,-0.04704819992184639,0.9988073110580444
1610713950892886321,1595,1610713950892671660,crazyflie/base_link,-1.5149356126785278,-0.5125023126602173,0.06961093842983246,-0.004151311703026295,0.00830262340605259,-0.045664429664611816,0.9989137053489685
1610713950902151597,1596,1610713950901908352,crazyflie/base_link,-1.5135982036590576,-0.5098990797996521,0.07104934751987457,-0.005535082425922155,0.01107016485184431,-0.045664429664611816,0.99888014793396
1610713950912986210,1597,1610713950912764242,crazyflie/base_link,-1.5131034851074219,-0.5092062950134277,0.07106932997703552,-0.005535082425922155,0.01107016485184431,-0.04704819992184639,0.9988159537315369
1610713950921592975,1598,1610713950921381875,crazyflie/base_link,-1.5121876001358032,-0.507340669631958,0.07867472618818283,-0.009686394594609737,0.01107016485184431,-0.04704819992184639,0.9987843036651611
1610713950932250748,1599,1610713950931974802,crazyflie/base_link,-1.5147035121917725,-0.5103890895843506,0.04969653859734535,-0.009686394594609737,0.009686394594609737,-0.045664429664611816,0.9988629221916199
1610713950940686691,1600,1610713950940418441,crazyflie/base_link,-1.5127061605453491,-0.5066758394241333,0.05157961696386337,-0.01107016485184431,0.01107016485184431,-0.04843197017908096,0.9987037777900696
1610713950954654939,1601,1610713950954482310,crazyflie/base_link,-1.5135380029678345,-0.5081225037574768,0.050754908472299576,-0.01107016485184431,0.01107016485184431,-0.04704819992184639,0.9987699389457703
1610713950960997844,1602,1610713950960867865,crazyflie/base_link,-1.514133095741272,-0.5091131329536438,0.0498475544154644,-0.009686394594609737,0.009686394594609737,-0.045664429664611816,0.9988629221916199
1610713950971577258,1603,1610713950971457478,crazyflie/base_link,-1.5128692388534546,-0.5062138438224792,0.03059421107172966,-0.009686394594609737,0.012453935109078884,-0.04704819992184639,0.9987680315971375
1610713950981743749,1604,1610713950981571671,crazyflie/base_link,-1.5164220333099365,-0.5116433501243591,0.031172798946499825,-0.009686394594609737,0.00830262340605259,-0.04428065940737724,0.9989376664161682
1610713950992049085,1605,1610713950991878885,crazyflie/base_link,-1.5122172832489014,-0.5043503046035767,0.0352308414876461,-0.009686394594609737,0.013837706297636032,-0.04843197017908096,0.9986836314201355
1610713951001204633,1606,1610713951001078254,crazyflie/base_link,-1.513687252998352,-0.5066831111907959,0.03845427185297012,-0.009686394594609737,0.01107016485184431,-0.045664429664611816,0.9988484978675842
